"João Monlevade","BR.MG.411","BR",80187,19.8082,43.1735
"João Pinheiro","BR.MG.412","BR",47452,17.7406,46.1744
"Joaquim Felício","BR.MG.413","BR",4305,17.7589,44.1707
"Jordânia","BR.MG.414","BR",10812,15.8995,40.1777
"José Gonçalves de Minas","BR.MG.415","BR",4577,16.9077,42.6043
"José Raydan","BR.MG.416","BR",4376,18.2208,42.4975
"Josenópolis","BR.MG.417","BR",4566,16.5465,42.5142
"Juatuba","BR.MG.418","BR",30716,19.9543,44.3414
"Juiz de Fora","BR.MG.419","BR",540756,21.7624,43.3435
"Juramento","BR.MG.420","BR",4110,16.8482,43.5877
"Juruaia","BR.MG.421","BR",10795,21.2528,46.5767
"Juvenília","BR.MG.422","BR",5708,14.2655,44.1591
"Ladainha","BR.MG.423","BR",18152,17.6266,41.7368
"Lagamar","BR.MG.424","BR",7600,18.1787,46.8064
"Lagoa da Prata","BR.MG.425","BR",51412,20.0246,45.5406
"Lagoa dos Patos","BR.MG.426","BR",4227,16.9823,44.5802
"Lagoa Dourada","BR.MG.427","BR",12267,20.9148,44.0754
"Lagoa Formosa","BR.MG.428","BR",18111,18.7777,46.4054
"Lagoa Grande","BR.MG.429","BR",9216,17.8368,46.5212
"Lagoa Santa","BR.MG.430","BR",61752,19.6447,43.9045
